,subsizes,<S>,<S^2>,<S>_typ,<S>_deg,<S>_all,<S^2>_deg,<S^2>_all
0,1,0.42270908780599115,0.0,0.0,0.021135454390299523,0.42270908780599115,0.008487441213404197,0.0
1,2,0.7904657763931261,0.0023670095658564483,0.0,0.039963678593107455,0.7903854868051411,0.030360011309090384,0.0023572813091943257
2,3,1.0925898192634085,0.009460431979729123,0.0,0.055050793406722386,1.09220557656915,0.05767208222673453,0.009393202104857723
3,4,1.3329222579853606,0.01828929908674448,0.0,0.06678508050175302,1.332144531403752,0.08504874349715481,0.01810687064558225
4,5,1.5254094705791583,0.028427152985310844,0.0,0.07665843737033133,1.5243005664102245,0.1123036867228034,0.02807627256468015
5,6,1.6769450820045282,0.03901774487534704,0.0,0.08467703103681892,1.6755733809180213,0.1373683368441756,0.038490382766037445
6,7,1.7914074831327629,0.04878276927891845,0.0,0.09085159306742333,1.7898381906785121,0.1584537837501116,0.04809326034586903
7,8,1.8715105449936504,0.05702936005088377,0.0,0.09510831627467156,1.869784204294978,0.17391343676073234,0.05620459960753399
8,9,1.918866782553012,0.06268267262264482,0.0,0.09765567579912346,1.9170433433683796,0.183531830813213,0.06176646096562566
9,10,1.934550361329343,0.06481676418925053,0.0,0.09847301552245602,1.9326893844203406,0.18666681827869044,0.06386504474265031
