,subsizes,<S>,<S^2>,<S>_typ,<S>_deg,<S>_all
0,1,0.18490739916777593,6.938893903907228e-18,0.0,0.0,0.18490739916777593
1,2,0.3046360973492383,-1.3877787807814457e-17,0.0,0.0,0.3046360973492383
2,3,0.39830711380528444,-5.551115123125783e-17,0.0,0.0,0.39830711380528444
3,4,0.4741393130578376,5.551115123125783e-17,0.0,0.0,0.4741393130578376
4,5,0.5359598892162173,5.551115123125783e-17,0.0,0.0,0.5359598892162173
5,6,0.5859526183035512,-1.6653345369377348e-16,0.0,0.0,0.5859526183035512
6,7,0.6254913597255731,-5.551115123125783e-17,0.0,0.0,0.6254913597255731
7,8,0.6554817739013928,1.6653345369377348e-16,0.0,0.0,0.6554817739013928
8,9,0.6765259604935,-5.551115123125783e-17,0.0,0.0,0.6765259604935
9,10,0.6890092384766586,0.0,0.0,0.0,0.6890092384766586
10,11,0.6931471805599454,-5.551115123125783e-17,0.0,0.0,0.6931471805599454
