,subsizes,<S>,<S^2>,<S>_typ
0,1,0.3767701612564369,0.0,0.0
1,2,0.7072677090748495,0.0016379966066460971,0.0
2,3,0.9830743019843508,0.006456605011624594,0.0
3,4,1.208786144740145,0.012390379266282725,0.0
4,5,1.3965382244537912,0.01923453792712726,0.0
5,6,1.5523670308747979,0.026582407080313786,0.0
6,7,1.6797925305204027,0.033826831810132685,0.0
7,8,1.781427368236907,0.040628437465609846,0.0
8,9,1.8589192628110862,0.046775126981919435,0.0
9,10,1.913505717229111,0.05175327859634793,0.0
10,11,1.9459450930850846,0.0551015638582979,0.0
11,12,1.9567045964685352,0.05634051926235495,0.0
