,subsizes,<S>,<S^2>,<S>_typ,<S>_deg,<S>_all
0,1,0.3983071138052843,0.0,0.0,0.0,0.3983071138052843
1,2,0.7462827387786618,0.0019476437220885545,0.0,0.0,0.7462827387786618
2,3,1.034344839982568,0.007729128079428049,0.0,0.0,1.034344839982568
3,4,1.2669960996991931,0.014922641018521254,0.0,0.0,1.2669960996991931
4,5,1.4572885786843763,0.023254359937613156,0.0,0.0,1.4572885786843763
5,6,1.6117015254090055,0.03214301163456135,0.0,0.0,1.6117015254090055
6,7,1.7339984878828956,0.040730329385137765,0.0,0.0,1.7339984878828956
7,8,1.826920483261791,0.048565238756047346,0.0,0.0,1.826920483261791
8,9,1.892176355427259,0.05496194667443399,0.0,0.0,1.892176355427259
9,10,1.9308589347532656,0.05929871143591514,0.0,0.0,1.9308589347532656
10,11,1.9436613869684145,0.06089139704497626,0.0,0.0,1.9436613869684145
