,subsizes,<S>,<S^2>,<S>_typ
0,1,0.184907399167776,-1.3877787807814457e-17,0.0
1,2,0.30463609734923836,0.0,0.0
2,3,0.39830711380528444,-2.7755575615628914e-17,0.0
3,4,0.4741393130578376,0.0,0.0
4,5,0.5359598892162172,0.0,0.0
5,6,0.5859526183035509,5.551115123125783e-17,0.0
6,7,0.6254913597255731,-5.551115123125783e-17,0.0
7,8,0.6554817739013928,1.1102230246251565e-16,0.0
8,9,0.6765259604935001,-2.220446049250313e-16,0.0
9,10,0.6890092384766586,0.0,0.0
10,11,0.6931471805599454,-5.551115123125783e-17,0.0
