,subsizes,<S>,<S^2>,<S>_typ,<S>_deg,<S>_all
0,1,0.5982695885852573,-5.551115123125783e-17,0.0,0.5982695885852573,0.5982695885852571
1,2,1.127769455025636,0.004006472583471421,0.0,1.1371162772689791,1.1281916486369112
2,3,1.5690413163639554,0.01914635250450525,0.0,1.5903957481640905,1.570058106331034
3,4,1.9093152262057114,0.045014466775906925,0.0,1.93707729575286,1.9105987562763977
4,5,2.14660978467657,0.07383891457955283,0.0,2.1886363343323056,2.1486085209049754
5,6,2.2867457989746827,0.09768006868758672,0.0,2.342648755591341,2.2894528333808353
6,7,2.3327167504751474,0.1073505787531257,0.0,2.3946279388891316,2.335746164470286
