,subsizes,<S>,<S^2>,<S>_typ,<S>_deg,<S>_all
0,1,0.4101163182884088,0.0,0.0,0.02796247624693697,0.42409755641187735
1,2,0.7914463733066991,0.0006167265273047118,0.0,0.05429397546639633,0.7997289609459493
2,3,1.0199613282563487,0.0006152421568805799,0.0,0.07794170040810024,1.071635877768702
3,4,1.1764853602374095,0.0012950042623576241,0.0,0.0982033142432516,1.2302920491130365
4,5,1.2796961012875896,0.0018753061211898014,0.0,0.11255395027783921,1.3450274567760367
5,6,1.3462116329827643,0.0023457350221867124,0.0,0.12271950895631885,1.4213755887947608
6,7,1.365817222873257,0.0025039677836593555,0.0,0.12522870302668246,1.4425863472497449
